City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Banda Aceh,ID,78.3,overcast clouds,5.5577,95.3222,Sulthan Hotel International
212,San Cristobal,VE,72.99,light rain,7.7669,-72.225,Posada Villaven C.A.
213,Kipini,KE,80.89,scattered clouds,-2.5257,40.5262,Delta Sea Mall
218,Bowen,AU,78.39,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
222,Kahului,US,85.26,clear sky,20.8947,-156.47,Maui Seaside Hotel
225,Lompoc,US,72.1,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
226,Sur,OM,81.37,clear sky,22.5667,59.5289,Sur Plaza Hotel
227,Lubbock,US,86.38,clear sky,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
230,Gallup,US,70.56,clear sky,35.5281,-108.7426,El Capitan Motel
235,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
236,Oranjestad,AW,78.39,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
241,Nishihara,JP,72.68,few clouds,26.1842,127.7558,Minshuku Agaihama
242,San Matias,BO,77.61,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
249,Miandrivazo,MG,74.32,few clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
250,Muisne,EC,82.51,few clouds,0.6,-80.0333,Quinta Samay
251,Nuzvid,IN,74.75,overcast clouds,16.7833,80.85,HI-TECH LODGE
253,Malakal,SS,79.0,broken clouds,9.5334,31.6605,Nile Palace Hotel
254,Natitingou,BJ,79.38,overcast clouds,10.3042,1.3796,Auberge Centrale
255,Maunabo,PR,89.42,scattered clouds,18.0072,-65.8993,Maunacaribe
257,Nikki,BJ,79.29,overcast clouds,9.9401,3.2108,Hotel John
259,Biak,ID,75.97,overcast clouds,-0.9131,122.8766,Penginapan Kim
260,Kalabo,ZM,80.8,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
263,Bukama,CD,70.7,broken clouds,-9.2,25.85,
268,Kottagudem,IN,74.21,overcast clouds,17.55,80.6333,Hotel Surya Palace
269,Iralaya,HN,80.69,overcast clouds,15.0,-83.2333,Iglesia morava renovada
271,Cachoeira Do Sul,BR,84.18,overcast clouds,-30.0392,-52.8939,Rede Bonnel Tropical Hotel Confort
274,Goure,NE,88.02,clear sky,13.9835,10.2704,
275,Maxixe,MZ,70.59,clear sky,-23.8597,35.3472,Oceano
277,San Patricio,US,85.05,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
287,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
288,Dondo,MZ,74.71,clear sky,-19.6094,34.7431,Arco Iris
291,Golden,US,73.51,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
292,Salinas,US,70.7,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
295,Padang,ID,77.47,heavy intensity rain,-0.9492,100.3543,Mercure Padang
296,Pilar,BR,82.33,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
297,Santa Isabel Do Rio Negro,BR,85.71,overcast clouds,-0.4139,-65.0192,Hotel GSA
298,Emerald,AU,75.97,clear sky,-23.5333,148.1667,The Irish Village
305,Chadiza,ZM,72.82,clear sky,-14.0678,32.4392,Sankhani Guest House
306,Akyab,MM,78.57,scattered clouds,20.15,92.9,Hotel Memory
307,Bengkulu,ID,75.83,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
308,Hun,LY,72.5,overcast clouds,29.1268,15.9477,Alrwasi Hotel
310,Aswan,EG,86.7,broken clouds,24.0934,32.907,Nuba Nile
311,Kutum,SD,76.89,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
312,Menongue,AO,71.73,overcast clouds,-14.6585,17.691,Ritz Lauca
314,Saint-Georges,GD,81.7,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
317,Muli,MV,82.74,clear sky,2.9167,73.5667,Medhufushi Island Resort
318,Thinadhoo,MV,82.98,scattered clouds,0.5333,72.9333,
324,Labuhan,ID,80.02,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
328,Meulaboh,ID,75.56,overcast clouds,4.1363,96.1285,Kost Pria
329,Kirakira,SB,81.59,overcast clouds,-10.4544,161.9205,SanBiz Lodge
332,Kupang,ID,79.47,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
334,Senanga,ZM,78.6,scattered clouds,-16.1167,23.2667,Zango lodge
336,Gushikawa,JP,72.63,clear sky,26.3544,127.8686,Kirari Guest House
338,Puerto Lumbreras,ES,70.11,overcast clouds,37.5633,-1.8097,Hotel Riscal
339,Wanning,CN,76.12,overcast clouds,18.8003,110.3967,Paradise Hotel
340,Gigmoto,PH,80.26,overcast clouds,13.7796,124.39,Cj's Travellers Inn
341,Sao Filipe,CV,79.86,broken clouds,14.8961,-24.4956,Hotel Xaguate
342,Escarcega,MX,85.48,few clouds,18.6089,-90.7454,Hotel Maria Isabel
343,Kisangani,CD,71.24,scattered clouds,0.5167,25.2,Grand Ramela Hotel
345,Vila Franca Do Campo,PT,73.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
348,Bani Walid,LY,70.18,broken clouds,31.7566,13.9942,منزل الصابر أبوفانة
350,Djougou,BJ,79.79,overcast clouds,9.7085,1.666,Hotel cathas
352,Rio Grande,BR,77.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
354,Kavaratti,IN,81.97,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
355,Tessalit,ML,87.49,overcast clouds,20.1986,1.0114,
357,Zamora,EC,78.69,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
360,Poum,NC,74.86,scattered clouds,-20.2333,164.0167,Gîte kajeon
364,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
366,Awbari,LY,72.03,clear sky,26.5921,12.7805,فندق أوباري
367,Nabire,ID,74.55,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
372,Rockledge,US,77.0,scattered clouds,28.3508,-80.7253,Aladdin Motel
373,Dingle,PH,74.91,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
375,Yenagoa,NG,77.09,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
377,Arawa,PG,77.63,moderate rain,-6.2132,155.5367,Coastline Guest House
381,Espanola,US,79.07,clear sky,35.9911,-106.0806,Santa Claran Hotel Casino
385,Karangampel,ID,81.19,overcast clouds,-6.4622,108.4519,ROOFTOP WAG ALL
388,Oussouye,SN,74.16,light rain,12.485,-16.5469,Auberge du Routard
389,Brownwood,US,82.4,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
395,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
401,Kavieng,PG,82.18,light rain,-2.5744,150.7967,Nusa Island Retreat
402,Salina,US,71.73,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
403,Uvira,CD,75.81,light rain,-3.4067,29.1458,Hotel Suzana
407,Nuevitas,CU,76.44,moderate rain,21.5453,-77.2644,Hotel Caonaba
408,Veraval,IN,76.84,overcast clouds,20.9,70.3667,Lords Inn Somnath
409,Rio De Janeiro,BR,76.91,broken clouds,-22.9028,-43.2075,Hotel Málaga
413,Magaria,NE,85.93,few clouds,12.9983,8.9099,Chez Honorable Chapiou
416,Damaturu,NG,84.18,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
419,Wajir,KE,85.62,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
421,Sohag,EG,84.45,overcast clouds,26.557,31.6948,Civil Registry - Sohag 1
423,Narasannapeta,IN,76.14,few clouds,18.4167,84.05,G.lingaraju home
424,Malumfashi,NG,78.08,overcast clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
426,Saint-Louis,SN,89.87,overcast clouds,16.3333,-15.0,
427,Mount Isa,AU,74.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
430,Birao,CF,79.16,overcast clouds,10.2849,22.7882,
432,Jujutla,SV,78.93,overcast clouds,13.7869,-89.8572,La Chera
437,Markala,ML,88.5,scattered clouds,13.7021,-6.0659,Hôtel Igor
438,Qui Nhon,VN,75.63,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
440,Kalianget,ID,81.91,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
442,Chiautla,MX,73.94,few clouds,19.5333,-98.8833,Xcoco Inn
450,Santa Maria,BR,82.13,broken clouds,-29.6842,-53.8069,Hotel Morotin
452,Marsh Harbour,BS,81.16,few clouds,26.5412,-77.0636,Abaco Beach Resort
453,Tabou,CI,77.97,overcast clouds,4.423,-7.3528,hotêl doufoulougou
458,San Agustin,MX,80.51,clear sky,20.5333,-103.4667,Motel Garden
463,Iracoubo,GF,82.94,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
464,Frisco,US,76.78,clear sky,33.1507,-96.8236,Comfort Suites Frisco
466,Abaete,BR,79.32,overcast clouds,-19.16,-45.4458,Hotel Millenium
470,Yaan,NG,78.85,overcast clouds,7.3833,8.5667,
471,Anaco,VE,80.02,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
475,Bontang,ID,76.89,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
477,Gamba,GA,76.6,moderate rain,-2.65,10.0,
479,Sao Jose Da Coroa Grande,BR,78.31,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
480,Pacifica,US,71.2,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
481,Puerto Escondido,MX,84.85,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
488,Kapoeta,SS,82.65,overcast clouds,4.7717,33.5903,Eastgate Hotel
490,Kattivakkam,IN,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
496,Dickinson,US,77.22,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
500,Dekar,BW,81.41,clear sky,-21.5333,21.9333,
502,Adrar,MR,83.48,overcast clouds,20.5022,-10.0711,
503,Daru,PG,78.75,overcast clouds,-9.0763,143.2092,Daru Lodge
504,Mazagao,BR,89.65,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
506,Axim,GH,78.8,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
507,Makakilo City,US,81.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
510,Camocim,BR,82.98,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
516,Lethem,GY,88.25,broken clouds,3.3803,-59.7968,Savannah Inn
517,Mogadishu,SO,79.21,few clouds,2.0371,45.3438,Hotel Juba
519,Sumenep,ID,81.61,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
522,Aiquile,BO,73.89,broken clouds,-18.2041,-65.1807,Hotel Santa Ana
523,Quatre Cocos,MU,71.1,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
524,Fonte Boa,BR,82.51,overcast clouds,-2.4959,-66.2662,
529,Guanhaes,BR,73.53,overcast clouds,-18.775,-42.9325,CARAVELLE HOTEL Guanhães - MG
532,Sinnamary,GF,82.56,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
534,Galle,LK,77.25,broken clouds,6.0367,80.217,Amangalla
536,Puerto Ayacucho,VE,85.69,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
538,Ranong,TH,77.16,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
540,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
542,Hobyo,SO,80.47,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
544,Tingo Maria,PE,84.45,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
546,Atar,MR,87.15,overcast clouds,20.5169,-13.0499,Oumou Elghoura
548,Kyaukse,MM,72.91,clear sky,21.6,96.1333,Shwe Thit Sar Guesthouse
553,Acapulco,MX,84.94,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
555,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
562,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
569,Gao,ML,88.29,broken clouds,16.6362,1.637,
574,Sigli,ID,77.99,overcast clouds,5.3848,95.9609,Losmen Dua Mali
575,Takoradi,GH,78.64,broken clouds,4.8845,-1.7554,Raybow International Hotel
576,Guerrero Negro,MX,75.69,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
578,Tambun,ID,78.69,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
579,Bilma,NE,83.71,few clouds,18.6853,12.9164,Expeditions Ténére voyages
585,Gadung,PH,79.36,overcast clouds,6.8025,124.02,
589,Ruidoso,US,74.05,clear sky,33.3317,-105.673,Inn of the Mountain Gods
593,Butterworth,MY,78.01,few clouds,5.3991,100.3638,Cititel Penang
595,Gladstone,AU,75.13,scattered clouds,-23.85,151.25,Highpoint International
602,Jacqueville,CI,80.51,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
611,Ciudad Del Maiz,MX,78.73,clear sky,22.4,-99.6,Hotel Casona del General
612,Calipan,MX,76.51,scattered clouds,18.2958,-97.1667,"""La Presa"""
613,Ishurdi,BD,71.04,clear sky,24.1333,89.0833,Rafiur Rahman
615,Kalamare,BW,76.37,clear sky,-22.9337,26.5703,
619,Prado,BR,77.38,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
621,Xuddur,SO,77.88,broken clouds,4.1213,43.8894,Banjanay Hotel
622,Laguna De Perlas,NI,84.29,overcast clouds,12.3429,-83.6712,Hotel Best View
624,Marzuq,YE,74.55,overcast clouds,14.4,46.4667,
626,Morgan City,US,70.03,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
627,Port Hueneme,US,83.88,haze,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
631,Manama,BH,84.34,clear sky,26.2154,50.5832,Al Safir Hotel
639,Salawagan,PH,71.67,scattered clouds,7.7053,125.115,Violeta B. Cardona
640,Kaduqli,SD,88.5,overcast clouds,11.0167,29.7167,فندق الله جابو
642,Amapa,BR,73.63,overcast clouds,1.0,-52.0,
644,Ahuimanu,US,83.79,few clouds,21.4447,-157.8378,Paradise Bay Resort
645,Angoche,MZ,75.09,clear sky,-16.2325,39.9086,Guest House HESADA
647,Solwezi,ZM,70.95,scattered clouds,-12.1688,26.3894,Country Lodge Solwezi
648,Osmena,PH,82.87,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
649,Sola,VU,81.1,clear sky,-13.8833,167.55,Leumerus Bungalows
